Utility,Nr_options,RT_options
tr,14,"['-c', '-C', '--complement', '-d', '--delete', '-s', '--squeeze', '-repeats', '-t', '--truncate', '-set1', '--help', '--version', '-CHAR2', '-d', '-t']"
chcon,25,"['-u', '-r', '-l', '-t', '--reference', '--reference', '--dereference', '-h', '--no', '-dereference', '-u', '--user', '-r', '--role', '-t', '--type', '-l', '--range', '--no', '-preserve', '-root', '--preserve', '-root', '--reference', '-R', '--recursive', '-v', '--verbose', '-R', '-H', '-L', '-P', '--help', '--version']"
make-prime-list,0,[]
pr,65,"['--pages', '-COLUMN', '--columns', '-a', '-a', '--across', '-COLUMN', '-c', '--show', '-control', '-chars', '-d', '--double', '-space', '-D', '--date', '-format', '-e', '--expand', '-tabs', '-F', '-f', '--form', '-feed', '-line', '-F', '-line', '-F', '-h', '--header', '-h', '-h', '-i', '--output', '-tabs', '-J', '--join', '-lines', '-W', '--sep', '-string', '-l', '--length', '-F', '-t', '-m', '--merge', '-J', '-n', '--number', '-lines', '-N', '--first', '-line', '-number', '-o', '--indent', '-w', '-W', '-r', '--no', '-file', '-warnings', '-s', '--separator', '-w', '-w', '-s', '-COLUMN', '-a', '-COLUMN', '-m', '-w', '-S', '--sep', '-string', '-S', '-J', '-S', '-t', '--omit', '-header', '-T', '--omit', '-pagination', '-v', '--show', '-nonprinting', '-w', '--width', '-column', '-s', '-W', '--page', '-width', '-J', '-S', '-s', '--help', '--version']"
sort,66,"['--files0', '-from', '-b', '--ignore', '-leading', '-blanks', '-d', '--dictionary', '-order', '-f', '--ignore', '-case', '-g', '--general', '-numeric', '-sort', '-i', '--ignore', '-nonprinting', '-M', '--month', '-sort', '-h', '--human', '-numeric', '-sort', '-n', '--numeric', '-sort', '-R', '--random', '-sort', '--random', '-source', '-r', '--reverse', '--sort', '-numeric', '-g', '-numeric', '-h', '-M', '-n', '-R', '-V', '-V', '--version', '-sort', '--batch', '-size', '-c', '--check', '--check', '-first', '-C', '--check', '--check', '-c', '--compress', '-program', '-d', '--debug', '--files0', '-from', '-terminated', '-k', '--key', '-m', '--merge', '-o', '--output', '-s', '--stable', '-resort', '-S', '--buffer', '-size', '-t', '--field', '-separator', '-blank', '-T', '--temporary', '-directory', '--parallel', '-u', '--unique', '-c', '-c', '-z', '--zero', '-terminated', '--help', '--version', '-t', '-b', '-letter', '--debug']"
comm,16,"['-column', '-1', '-2', '-3', '--check', '-order', '--nocheck', '-order', '--output', '-delimiter', '--total', '-z', '--zero', '-terminated', '--help', '--version', '-12', '-3']"
factor,4,"['-h', '--exponents', '--help', '--version']"
unlink,2,"['--help', '--version']"
sha384sum,23,"['-bit', '-b', '--binary', '-c', '--check', '--tag', '-style', '-t', '--text', '-z', '--zero', '--ignore', '-missing', '--quiet', '--status', '--strict', '-zero', '-w', '--warn', '--help', '--version', '-180', '-2']"
chroot,7,"['--groups', '--userspec', '--skip', '-chdir', '--help', '--version', '-i', '-i']"
tee,11,"['-a', '--append', '-i', '--ignore', '-interrupts', '-p', '--output', '-error', '--help', '--version', '-nopipe', '-nopipe', '-p', '-nopipe', '--output', '-error']"
whoami,3,"['-un', '--help', '--version']"
cksum,24,"['-a', '--algorithm', '-c', '--check', '-l', '--length', '--tag', '-style', '--untagged', '-z', '--zero', '--ignore', '-missing', '--quiet', '--status', '--strict', '-zero', '-w', '--warn', '--debug', '--help', '--version', '-s', '-r']"
numfmt,33,"['--debug', '-d', '--delimiter', '--field', '--format', '-point', '--from', '-scale', '--from', '-unit', '--grouping', '-defined', '--header', '--invalid', '--padding', '-align', '-align', '--round', '-zero', '-zero', '--suffix', '--to', '-scale', '--to', '-unit', '-z', '--zero', '-terminated', '--help', '--version', '-scaling', '-i', '-letter', '-M', '-M', '-point', '--grouping', '-10f', '--invalid', '--invalid', '--invalid', '--to', '--to', '--to', '-i', '--from', '--from', '-B1', '--header', '--field', '-4', '--to', '-l', '--header', '--field', '--to', '-lh', '--header', '--field', '--from', '--padding', '-lh', '--header', '--field', '--from', '--format']"
getlimits,2,"['--help', '--version']"
fold,8,"['-b', '--bytes', '-s', '--spaces', '-w', '--width', '--help', '--version']"
md5sum,21,"['-bit', '-b', '--binary', '-c', '--check', '--tag', '-style', '-t', '--text', '-z', '--zero', '--ignore', '-missing', '--quiet', '--status', '--strict', '-zero', '-w', '--warn', '--help', '--version']"
dirname,5,"['-slash', '-z', '--zero', '--help', '--version']"
[,40,"['--help', '--version', '-a', '-o', '-n', '-n', '-z', '-eq', '-ge', '-gt', '-le', '-lt', '-ne', '-ef', '-nt', '-ot', '-b', '-c', '-d', '-e', '-f', '-g', '-group', '-ID', '-G', '-h', '-L', '-k', '-L', '-h', '-N', '-O', '-p', '-r', '-s', '-S', '-t', '-u', '-user', '-ID', '-w', '-x', '-h', '-L', '-related', '-l', '-a', '-o', '--help', '--version']"
cp,61,"['-T', '-t', '-a', '--archive', '-dR', '--preserve', '--attributes', '-only', '--backup', '-b', '--backup', '--copy', '-contents', '-d', '--no', '-dereference', '--preserve', '-f', '--force', '-n', '-i', '--interactive', '-n', '-H', '-line', '-l', '--link', '-L', '--dereference', '-n', '--no', '-clobber', '-i', '-P', '--no', '-dereference', '-p', '--preserve', '--preserve', '--no', '-preserve', '--parents', '-R', '-r', '--recursive', '--reflink', '--remove', '-destination', '--force', '--sparse', '--strip', '-trailing', '-slashes', '-s', '--symbolic', '-link', '-S', '--suffix', '-t', '--target', '-directory', '-T', '--no', '-target', '-directory', '-u', '--update', '-v', '--verbose', '-x', '--one', '-file', '-system', '-Z', '--context', '-Z', '--help', '--version', '--sparse', '--sparse', '--sparse', '--reflink', '--reflink', '--reflink', '--suffix', '--backup', '--backup']"
od,35,"['-abcdfilosx', '--traditional', '-j', '-address', '-A', '--address', '-radix', '--endian', '-j', '--skip', '-bytes', '-N', '--read', '-bytes', '-S', '--strings', '-t', '--format', '-v', '--output', '-duplicates', '-w', '--width', '--traditional', '--help', '--version', '-a', '-t', '-order', '-b', '-t', '-c', '-t', '-d', '-t', '-byte', '-f', '-t', '-i', '-t', '-l', '-t', '-o', '-t', '-byte', '-s', '-t', '-byte', '-x', '-t', '-byte', '-order']"
rmdir,11,"['--ignore', '-fail', '-on', '-non', '-empty', '-empty', '-p', '--parents', '-p', '-v', '--verbose', '--help', '--version']"
basename,8,"['-a', '--multiple', '-s', '--suffix', '-a', '-z', '--zero', '--help', '--version', '-s', '-a']"
mktemp,14,"['--tmpdir', '-d', '--directory', '-u', '--dry', '-run', '-q', '--quiet', '-creation', '--suffix', '-p', '--tmpdir', '-t', '-t', '-p', '--help', '--version']"
sha512sum,23,"['-bit', '-b', '--binary', '-c', '--check', '--tag', '-style', '-t', '--text', '-z', '--zero', '--ignore', '-missing', '--quiet', '--status', '--strict', '-zero', '-w', '--warn', '--help', '--version', '-180', '-2']"
seq,10,"['-f', '--format', '-point', '-s', '--separator', '-w', '--equal', '-width', '--help', '--version']"
ginstall,41,"['-T', '-t', '-d', '-to', '-use', '-get', '--backup', '-b', '--backup', '-c', '-C', '--compare', '-d', '--directory', '-D', '--target', '-directory', '-g', '--group', '-m', '--mode', '-xr', '-x', '-o', '--owner', '-user', '-p', '--preserve', '-timestamps', '-s', '--strip', '--strip', '-program', '-S', '--suffix', '-t', '--target', '-directory', '-T', '--no', '-target', '-directory', '-v', '--verbose', '--preserve', '-context', '-Z', '--context', '-Z', '--help', '--version', '--suffix', '--backup', '--backup']"
tac,8,"['-b', '--before', '-r', '--regex', '-s', '--separator', '--help', '--version']"
true,2,"['--help', '--version']"
uniq,26,"['-c', '--count', '-d', '--repeated', '-D', '--all', '-repeated', '-D', '-f', '--skip', '-fields', '--group', '-i', '--ignore', '-case', '-s', '--skip', '-chars', '-u', '--unique', '-z', '--zero', '-terminated', '-w', '--check', '-chars', '--help', '--version', '-blank', '-u']"
pathchk,5,"['-p', '-P', '--portability', '-p', '-P', '--help', '--version']"
yes,2,"['--help', '--version']"
hostid,2,"['--help', '--version']"
paste,9,"['-d', '--delimiters', '-s', '--serial', '-z', '--zero', '-terminated', '--help', '--version']"
echo,7,"['-OPTION', '-OPTION', '-n', '-e', '-E', '--help', '--version', '-e', '-like']"
printenv,4,"['-0', '--null', '--help', '--version']"
chgrp,23,"['--reference', '--reference', '-c', '--changes', '-f', '--silent', '--quiet', '-v', '--verbose', '--dereference', '-h', '--no', '-dereference', '--no', '-preserve', '-root', '--preserve', '-root', '--reference', '-R', '--recursive', '-R', '-H', '-L', '-P', '--help', '--version', '-hR']"
realpath,22,"['-e', '--canonicalize', '-existing', '-m', '--canonicalize', '-missing', '-L', '--logical', '-P', '--physical', '-q', '--quiet', '--relative', '-to', '--relative', '-base', '-s', '--strip', '--no', '-symlinks', '-z', '--zero', '--help', '--version']"
uname,24,"['-s', '-a', '--all', '-p', '-i', '-s', '--kernel', '-name', '-n', '--nodename', '-r', '--kernel', '-release', '-v', '--kernel', '-version', '-m', '--machine', '-p', '--processor', '-portable', '-i', '--hardware', '-platform', '-portable', '-o', '--operating', '-system', '--help', '--version']"
nl,40,"['-b', '--body', '-numbering', '-d', '--section', '-delimiter', '-f', '--footer', '-numbering', '-h', '--header', '-numbering', '-i', '--line', '-increment', '-l', '--join', '-blank', '-lines', '-n', '--number', '-format', '-p', '--no', '-renumber', '-s', '--number', '-separator', '-v', '--starting', '-line', '-number', '-w', '--number', '-width', '--help', '--version', '-bt', '-d', '-fn', '-hn', '-i1', '-l1', '-n', '-s', '-v1', '-w6', '-d']"
shred,19,"['-f', '--force', '-n', '--iterations', '--random', '-source', '-s', '--size', '-u', '--remove', '-u', '-v', '--verbose', '-x', '--exact', '-regular', '-z', '--zero', '--help', '--version', '--remove', '-u']"
nohup,2,"['--help', '--version']"
sha1sum,23,"['-bit', '-b', '--binary', '-c', '--check', '--tag', '-style', '-t', '--text', '-z', '--zero', '--ignore', '-missing', '--quiet', '--status', '--strict', '-zero', '-w', '--warn', '--help', '--version', '-180', '-1']"
sum,6,"['-bit', '-r', '-s', '--sysv', '--help', '--version']"
mknod,6,"['-m', '--mode', '-Z', '--context', '-Z', '--help', '--version']"
b2sum,23,"['-bit', '-b', '--binary', '-c', '--check', '-l', '--length', '--tag', '-style', '-t', '--text', '-z', '--zero', '--ignore', '-missing', '--quiet', '--status', '--strict', '-zero', '-w', '--warn', '--help', '--version']"
env,23,"['-i', '--ignore', '-environment', '-0', '--null', '-u', '--unset', '-C', '--chdir', '-S', '--split', '-string', '--block', '-signal', '--default', '-signal', '--ignore', '-signal', '--list', '-signal', '-handling', '-v', '--debug', '--help', '--version', '-i', '-separated', '-op']"
df,34,"['-a', '--all', '-B', '--block', '-size', '-BM', '-h', '--human', '-readable', '-H', '--si', '-i', '--inodes', '-k', '--block', '-size', '-l', '--local', '--no', '-sync', '--output', '-P', '--portability', '--sync', '--total', '-t', '--type', '-T', '--print', '-type', '-x', '--exclude', '-type', '-v', '--help', '--version', '--block', '-size', '-separated']"
ln,31,"['-T', '-t', '--symbolic', '--backup', '-b', '--backup', '-d', '-F', '--directory', '-f', '--force', '-i', '--interactive', '-L', '--logical', '-n', '--no', '-dereference', '-P', '--physical', '-r', '--relative', '-s', '-s', '--symbolic', '-S', '--suffix', '-t', '--target', '-directory', '-T', '--no', '-target', '-directory', '-v', '--verbose', '--help', '--version', '--suffix', '--backup', '--backup', '-s', '-L', '-P', '-P']"
sync,7,"['-d', '--data', '-f', '--file', '-system', '--help', '--version']"
uptime,2,"['--help', '--version']"
dircolors,14,"['-b', '--sh', '--bourne', '-shell', '-c', '--csh', '--c', '-shell', '-p', '--print', '-database', '--print', '-ls', '-colors', '--help', '--version', '--print', '-database']"
tty,5,"['-s', '--silent', '--quiet', '--help', '--version']"
chown,24,"['--reference', '--reference', '-c', '--changes', '-f', '--silent', '--quiet', '-v', '--verbose', '--dereference', '-h', '--no', '-dereference', '--from', '--no', '-preserve', '-root', '--preserve', '-root', '--reference', '-R', '--recursive', '-R', '-H', '-L', '-P', '--help', '--version', '-hR']"
ptx,44,"['-G', '-G', '-A', '--auto', '-reference', '-G', '--traditional', '-F', '--flag', '-truncation', '-M', '--macro', '-name', '-O', '--format', '-R', '--right', '-side', '-refs', '-w', '-S', '--sentence', '-regexp', '-T', '--format', '-W', '--word', '-regexp', '-b', '--break', '-file', '-f', '--ignore', '-case', '-g', '--gap', '-size', '-i', '--ignore', '-file', '-o', '--only', '-file', '-r', '--references', '-t', '--typeset', '-mode', '-w', '--width', '--help', '--version']"
head,14,"['-c', '--bytes', '-n', '--lines', '-q', '--quiet', '--silent', '-v', '--verbose', '-z', '--zero', '-terminated', '--help', '--version']"
wc,19,"['--files0', '-from', '-zero', '-length', '-c', '--bytes', '-m', '--chars', '-l', '--lines', '--files0', '-from', '-terminated', '-L', '--max', '-line', '-length', '-w', '--words', '--total', '--help', '--version']"
